hccis_id,rpt_year,code,value
1,2015,6203,
1,2015,7164,
1,2015,6202,
1,2015,7162,38.00
1,2015,6200,2.00
1,2015,7158,
1,2015,2176,
1,2015,7163,
1,2015,2175,
1,2015,7167,7.00
1,2015,2173,
1,2015,7145,
1,2015,2172,
1,2015,7134,
1,2015,2171,
1,2015,7176,144.00
1,2015,2167,15.00
1,2015,6254,
1,2015,2166,
1,2015,7066,-445.00
1,2015,2165,2.00
1,2015,6271,
1,2015,2163,
1,2015,7125,-2338870.00
1,2015,2162,
1,2015,6270,2.00
1,2015,2161,
1,2015,7127,275182.00
1,2015,2157,11.00
1,2015,6334,48.00
1,2015,2156,1.00
1,2015,7110,5503640.00
1,2015,2155,4.00
1,2015,6274,
1,2015,2153,1.00
1,2015,6273,
1,2015,2152,1.00
1,2015,6258,361.00
1,2015,2151,
1,2015,7090,8025401.00
1,2015,2147,
1,2015,7098,-1038928.00
1,2015,2146,
1,2015,7068,
1,2015,2145,
1,2015,6300,1.00
1,2015,2143,0.51
1,2015,7123,-1240.00
1,2015,2142,
1,2015,7178,9.00
1,2015,2141,0.12
1,2015,7122,-87.00
1,2015,2138,40.27
1,2015,7184,17.00
1,2015,7672,
1,2015,7111,2331222.00
1,2015,4335,12.00
1,2015,7086,
1,2015,4334,
1,2015,7181,
1,2015,4333,3.00
1,2015,7203,
1,2015,4331,
1,2015,6260,2.00
1,2015,4329,1.00
1,2015,7052,
1,2015,4327,9.00
1,2015,7062,29065.00
1,2015,4326,
1,2015,7208,
1,2015,4324,16.00
1,2015,7147,
1,2015,4323,
1,2015,7056,17.00
1,2015,4322,16.00
1,2015,6360,1.00
1,2015,4320,119.00
1,2015,7044,56.00
1,2015,4309,
1,2015,7080,
1,2015,4307,
1,2015,7121,-3454.00
1,2015,4304,1.00
1,2015,7141,
1,2015,4060,1644.00
1,2015,7142,
1,2015,4044,
1,2015,7117,
1,2015,4041,
1,2015,7179,
1,2015,4037,48.00
1,2015,7200,
1,2015,4035,9.00
1,2015,7196,
1,2015,4034,127.00
1,2015,7195,1.00
1,2015,4033,118.00
1,2015,7079,
1,2015,4030,401.00
1,2015,7051,
1,2015,4026,1.00
1,2015,7193,
1,2015,4025,282.00
1,2015,7190,1.00
1,2015,4022,0.00
1,2015,7135,215629.00
1,2015,4020,401.00
1,2015,7191,
1,2015,4017,
1,2015,7136,
1,2015,4014,
1,2015,7207,3.00
1,2015,4011,2.00
1,2015,7050,
1,2015,2198,
1,2015,7192,
1,2015,2192,1.00
1,2015,7177,16.00
1,2015,2188,2.39
1,2015,7053,
1,2015,2185,
1,2015,7055,15697.00
1,2015,2182,2.00
1,2015,7049,40.00
